name;team;9.5.2004;8.5.2005;30.4.2006;27.5.2007;17.5.2008;23.5.2009;22.5.2010;28.5.2011;3.6.2012;2.6.2013;1.6.2014;30.5.2015;gender
Cvrèek;Kompas, Hot Dogs, Šampátka, Teï jsme pøišli, Telefonní èíslo;6;10;11;14;14;19;19;19;33;17;14;25;man
Miláno;Tamara, Hot Dogs, Orion, Hrana;19;9;24;22;16;8;-;14;21;15;9;21;man
Honza O.;Tamara, Dvanáctka, Hot Dogs, Tragédi;23;10;22;11;15;15;10;-;14;15;10;-;man
Tomáš;Tamara, Válcovny, Tragédi;-;7;10;13;21;7;-;-;-;19;28;37;man
Alfi;Hrana, Hot Dogs;-;0;2;10;11;8;15;19;16;18;17;20;man
Citron;Orion, Dobrı Indián Kely;25;17;12;10;-;12;-;17;12;7;6;18;man
Maho;Do hlavy ne, Hot Dogs, Orion;17;9;19;19;20;13;-;14;18;-;-;-;man
Vazoun;Kompas, Hot Dogs, Orion, Topinambur, Ufobazar;12;18;11;5;-;-;9;16;15;16;22;-;man
Doak;A je to Z, Ufobazar, Epix;;;;6;8;11;20;16;20;16;10;16;man
Pája;Praskı vıbìr, Š-moulové;-;-;-;-;-;12;25;-;25;26;-;31;man
Honza V.;Do hlavy ne, Orion, Hot Dogs;2;3;3;8;11;11;11;8;16;15;11;19;man
Matouš;Zblitek, Poivaèní Samci, Tamara;;;;;3;4;10;-;25;25;25;21;man
Páïa;Orion 2, Díra v tichu;;;0;4;11;7;26;11;10;16;9;17;man
Chuck;Hot Dogs, Dvanáctka, Orion, Poivaèní Samci;-;1;6;11;7;21;11;3;8;14;19;10;man
Lukáš;Praskı vıbìr…, Za Zenitem, Hanebáci;5;6;-;-;-;8;7;6;17;8;9;14;man
Thran;Hrana, Poivaèní Samci;-;-;2;4;15;5;7;14;8;12;4;9;man
Pyro;Praskı vıbìr, Š-moulové;15;7;-;-;-;2;8;2;11;6;10;15;man
Brnda;Hanebáci, Olihnì;;;;;;;6;17;13;13;15;11;man
Brácha;Kompas, Dvanáctka;14;9;9;-;-;6;8;-;15;-;12;-;man
Pean;Do hlavy ne, Orion, Hot Dogs;2;2;8;8;9;7;13;8;9;-;-;-;man
Rowis;Zbytek, Outsider team, Chlupaté bestie, Epix;;;;;7;7;4;3;12;12;14;7;man
