name;team;29.3.2014;25.1.2015;gender
Pája;Pra-ha, Kometa Pra-ha;25;20;man
Bris;Ufobazar;21;21;man
Juve;El bimbaso;40;-;man
Matouš;Tamara;21;17;man
Páïa;Díra v tichu;25;13;man
Alfi;Hrana;25;12;man
Doak;Ufobazar;11;20;man
Honza O.;Tamara;11;20;man
Brnda;Odpad A, Olihnì;14;14;man
Alf ;Jak Zamlada, Twist;25;3;man
Wizy;Hrana, Epix;17;7;man
Vítek;Tamara, Semenomrdi;13;9;man
Chuck;El bimbaso;21;-;man
Lukáš;Pra-ha, Kometa Pra-ha;13;8;man
Fanda;Odpad A, Odpad;4;16;man
Tomíno;Pra-ha, Kometa Pra-ha;10;10;man
Pyro;Pra-ha, Kometa Pra-ha;15;5;man
Viki;Ufobazar;19;-;man
Mates;Odpad A;19;-;man
Honni;Odpad B, Odpad;5;13;man
Skokan;Praská novota;17;-;man
Thran;Hrana;11;4;man
Jura;Odpad A, Odpad;12;3;man
Gaspatcho;Odpad A;14;-;man
Standa;Jak Zamlada;14;-;man
Vazoun;Ufobazar;13;-;man
Pinokio;Praská novota;13;-;man
Radek;Díra v tichu;-;12;man
Filip (odpad);Odpad B, Odpad;1;11;man
Orwen;Hrana;11;-;man
Jeff;Hrana, Olihnì;1;9;man
Klíša;Díra v tichu;5;5;man
Malmed;Hrana;-;9;man
Vojta;Tamara;6;3;man
Pája;Jak Zamlada;8;-;man
Cvrèek;Twist;-;8;man
Salw;Twist;-;8;man
Sirka;Díra v tichu;7;1;woman
Joke;Pra-ha, Kometa Pra-ha;7;kouè;man
Štafa;Hrana;-;7;man
Márty;Jak Zamlada, Twist;4;3;woman
Špunt;Odpad B, Olihnì;5;2;woman
Kovík;Tamara;6;-;man
Radek;Tamara;-;6;man
Dejv;Jak Zamlada, Twist;5;1;man
Blùïa;Odpad B, Odpad;6;0;woman
Grg;Semenomrdi;-;5;man
Filip (Film);El bimbaso, Semenomrdi;1;4;man
Bagr;Jak Zamlada, Semenomrdi;4;1;man
Høib;Odpad A;4;-;man
Šáša;Twist;-;4;man
Šimon;Pra-ha, Kometa Pra-ha;2;2;man
Fifi;Díra v tichu;4;0;man
Huhu;Odpad B;3;-;woman
Jáchym;El bimbaso;3;-;man
Orynè;Olihnì;-;3;man
Rùa;Twist;-;3;man
Marek;Tamara;-;3;man
Schepet;Ufobazar;1;2;woman
Šárka;Pra-ha, Kometa Pra-ha;1;2;woman
Ferin;Odpad A, Odpad;1;2;woman
Kloky;Hrana;3;0;woman
Andy;El bimbaso;2;-;man
Lumek;El bimbaso, Semenomrdi;2;-;man
Dave;Odpad;-;2;man
Ivèa;Tamara, Semenomrdi;2;0;woman
Terka;Pra-ha, Kometa Pra-ha;2;0;woman
Alvar;Ufobazar;1;-;man
Deyl;Praská novota;1;-;man
Vendy;Praská novota;1;-;woman
Išanka;Hrana;1;-;woman
Svía;Díra v tichu;1;-;man
Zetko;Olihnì;-;1;man
Terka P.;Pra-ha, Kometa Pra-ha;1;0;woman
Michal;Jak Zamlada, Semenomrdi;1;0;man
Magda;El bimbaso;1;0;woman
